ID, Cloth ID,Age,Review,Rating,Category
0,767,33,,4,Intimates
1,1080,34,,5,Dresses
2,1077,60,Some major design flaws,3,Dresses
3,1049,50,My favorite buy!,5,Pants
4,847,47,Flattering shirt,5,Blouses
5,1080,49,Not for the very petite,2,Dresses
6,858,39,Cagrcoal shimmer fun,5,Knits
7,858,39,"Shimmer, surprisingly goes with lots",4,Knits
8,1077,24,Flattering,5,Dresses
9,1077,34,Such a fun dress!,5,Dresses
10,1077,53,Dress looks like it's made of cheap material,3,Dresses
11,1095,39,,5,Dresses
12,1095,53,Perfect!!!,5,Dresses
13,767,44,Runs big,5,Intimates
14,1077,50,Pretty party dress with some issues,3,Dresses
15,1065,47,"Nice, but not for my body",4,Pants
16,1065,34,"You need to be at least average height, or taller",3,Pants
17,853,41,Looks great with white pants,5,Blouses
18,1120,32,Super cute and cozy,5,Outerwear
19,1077,47,Stylish and comfortable,5,Dresses
20,847,33,"Cute, crisp shirt",4,Blouses
21,1080,55,I'm torn!,4,Dresses
22,1077,31,Not what it looks like,2,Dresses
23,1077,34,"Like it, but don't love it.",3,Dresses
24,847,55,Versatile,5,Blouses
25,697,31,Falls flat,3,Lounge
26,949,33,Huge disappointment,2,Sweaters
27,1003,31,"Loved, but returned",4,Skirts
28,684,53,Great shirt!!!,5,Lounge
29,4,28,Great layering piece,5,Sweaters
30,1060,33,,5,Pants
31,1060,46,Cuter in oerson!,5,Pants
32,1060,21,Love these pants,5,Pants
33,949,36,Mehh,2,Sweaters
34,697,39,Love this dress!,5,Lounge
35,1060,65,Lovely!,4,Pants
36,1002,29,,4,Skirts
37,949,38,Beautifully cut lightweight coat,5,Sweaters
38,684,36,,5,Lounge
39,862,59,,5,Knits
40,862,47,,4,Knits
41,862,40,,5,Knits
42,910,23,Soft & lovely,5,Fine gauge
43,89,67,Some things you should know...,4,Sleep
44,862,48,Beautiful!,5,Knits
45,862,43,Love the two tone design,4,Knits
46,862,40,,5,Knits
47,823,52,,5,Blouses
48,910,56,Love the color!,5,Fine gauge
49,862,33,Love the embroidery!,5,Knits
50,862,46,Cute for fall,4,Knits
51,862,41,Love,5,Knits
52,1104,39,,3,Dresses
53,862,39,Flattering and comfortable,5,Knits
54,862,66,Cute top,4,Knits
55,862,61,Soft and cute as can be!,5,Knits
56,368,33,,2,Intimates
57,862,31,"Boring front, great back",3,Knits
58,1095,36,,4,Dresses
59,368,52,Soft and comfortable,4,Intimates
60,1095,41,Gorgeous dress!,5,Dresses
61,368,36,Itchy tags,1,Intimates
62,862,28,Must have,5,Knits
63,862,57,Cute top! love the brand,5,Knits
64,862,43,Love this top,5,Knits
65,862,58,,4,Knits
66,862,60,Super cute and unique top,4,Knits
67,862,40,Beautiful top,5,Knits
68,862,37,I wanted to love this top...,2,Knits
69,1078,56,Great summer fabric!,3,Dresses
70,845,38,"Cute, but massive sweep",4,Blouses
71,822,36,Short and boxy,2,Blouses
72,850,27,Beautiful design,5,Blouses
73,866,47,,4,Knits
74,1081,59,,5,Dresses
75,845,48,Very very cute but a lot of fabric,5,Blouses
76,1082,31,Runs large in top and waist,4,Dresses
77,850,28,Zipper broke,2,Blouses
78,836,47,Obsessed,5,Blouses
79,1081,62,So cute...but dry clean?!,4,Dresses
80,1072,68,Elegant classic dress,5,Dresses
81,863,61,,5,Knits
82,1133,33,Cute parka!,5,Outerwear
83,822,68,Just lovely,5,Blouses
84,861,37,Casual & unique tee,3,Knits
85,866,58,,1,Knits
86,850,39,Neutral blue,4,Blouses
87,1081,39,True to size to large,4,Dresses
88,845,38,Huge,2,Blouses
89,836,24,"Pretty, but not for me...",4,Blouses
90,1078,51,Sweet flattering dress,4,Dresses
91,850,29,,5,Blouses
92,861,23,,5,Knits
93,1081,31,,5,Dresses
94,850,23,"Beautifully made, but not versatile",4,Blouses
95,863,83,Casual elegance!,5,Knits
96,845,44,,1,Blouses
97,861,44,Huge,1,Knits
98,1133,50,,5,Outerwear
99,861,33,Pernette henley,3,Knits
100,861,39,Comfy,4,Knits
101,863,40,"Simple, stylish, lovely-runs a bit big",4,Knits
102,822,69,Stunning lace top,5,Blouses
103,822,23,Not a fan,2,Blouses
104,863,51,,2,Knits
105,836,66,Excited ... but ...,5,Blouses
106,836,47,Beautiful shirt but runs small!,4,Blouses
107,836,66,Beautiful,4,Blouses
108,836,23,Perfect fall shirt!,5,Blouses
109,1081,47,,5,Dresses
110,861,44,Poor quality,1,Knits
111,1081,44,An almost for me...,3,Dresses
112,836,50,"Beautiful, stunning, cozy top!",5,Blouses
113,1081,61,Cute and comfy,5,Dresses
114,1082,32,Disappointing quality,2,Dresses
115,863,52,Cute tee,4,Knits
116,1072,51,Very vintage feel,4,Dresses
117,1078,32,,5,Dresses
118,850,37,Awkward fitting,2,Blouses
119,836,54,Cozy casual - perfect for fall,5,Blouses
120,861,33,The perfect striped t,5,Knits
121,966,63,,5,Jackets
122,1196,29,,5,Dresses
123,836,24,So beautiful! gorgeous orange color!,5,Blouses
124,923,50,"Lovely top, not lovely shape",3,Sweaters
125,1072,34,"Wonderfully made, poorly designed for busty gals",3,Dresses
126,1133,71,,4,Outerwear
127,1133,30,,5,Outerwear
128,966,52,Cute vest but...,4,Jackets
